Measurement File created on l)@

Time,Temperature,TargetPWM
0.5000,83.81,17.00
0.9020,83.70,17.00
1.3520,83.81,17.00
1.8020,83.76,17.00
2.2570,83.70,17.00
2.7070,83.70,17.00
3.1550,83.76,17.00
3.6050,83.70,17.00
4.0540,83.86,17.00
4.5030,83.70,17.00
4.9520,83.70,17.00
5.4020,83.76,17.00
5.8520,83.86,17.00
6.3170,83.81,17.00
6.7570,83.70,17.00
7.2060,83.70,17.00
7.6550,83.76,17.00
8.1040,83.70,17.00
8.5530,83.76,17.00
9.0020,83.76,17.00
9.4520,83.81,17.00
9.9020,83.76,17.00
10.3520,83.81,17.00
10.8070,83.86,17.00
11.2560,83.81,17.00
11.7050,83.81,17.00
12.1540,83.76,17.00
12.6050,83.76,17.00
13.0530,83.76,17.00
13.5020,83.70,17.00
13.9520,83.81,17.00
14.4020,83.70,17.00
14.8580,83.76,17.00
15.3060,83.86,17.00
15.7550,83.81,17.00
16.2050,83.86,17.00
16.6540,83.81,17.00
17.1030,83.81,17.00
17.5520,83.81,17.00
18.0020,83.76,17.00
18.4520,83.76,17.00
18.9070,83.81,17.00
19.3570,83.70,17.00
19.8060,83.81,17.00
20.2550,83.76,17.00
20.7040,83.86,17.00
21.1530,83.76,17.00
21.6020,83.86,17.00
22.0520,83.81,17.00
22.5020,83.86,17.00
22.9580,83.70,17.00
23.4070,83.76,17.00
23.8560,83.70,17.00
24.3050,83.81,17.00
24.7540,83.76,17.00
25.2040,83.81,17.00
25.6530,83.76,17.00
26.1020,83.86,17.00
26.5520,83.81,17.00
27.0020,83.86,17.00
27.4570,83.70,17.00
27.9060,83.76,17.00
28.3550,83.70,17.00
28.8040,83.76,17.00
29.2540,83.70,17.00
29.7030,83.81,17.00
30.1520,83.76,17.00
30.6020,83.86,17.00
31.0520,83.76,17.00
31.5070,83.81,17.00
31.9560,83.86,17.00
32.4050,83.76,17.00
32.8550,83.76,17.00
33.3040,83.76,17.00
33.7530,83.70,17.00
34.2020,83.76,17.00
34.6520,83.70,17.00
35.1020,83.81,17.00
35.5570,83.86,17.00
36.0070,83.76,17.00
36.4560,83.86,17.00
36.9050,83.76,17.00
37.3540,83.91,17.00
37.8040,83.81,17.00
38.2520,83.86,17.00
38.7020,83.81,17.00
39.1520,83.76,17.00
39.6080,83.70,17.00
40.0570,83.81,17.00
40.5060,83.76,17.00
40.9550,83.81,17.00
41.4040,83.76,17.00
41.8530,83.81,17.00
42.3030,83.81,17.00
42.7520,83.86,17.00
43.2020,83.81,17.00
43.6520,83.86,17.00
44.1070,83.81,17.00
44.5570,83.76,17.00
45.0050,83.76,17.00
45.4540,83.76,17.00
45.9040,83.76,17.00
46.3530,83.81,17.00
46.8020,83.76,17.00
47.2520,83.86,17.00
47.7020,83.76,17.00
48.1570,83.81,17.00
48.6060,83.86,17.00
49.0550,83.86,17.00
49.5050,83.91,17.00
49.9540,83.81,17.00
50.4030,83.76,17.00
50.8520,83.76,17.00
51.3020,83.76,17.00
51.7520,83.86,17.00
52.2070,83.86,17.00
52.6570,83.81,17.00
53.1060,83.91,17.00
53.5550,83.81,17.00
54.0040,83.91,17.00
54.4530,83.86,17.00
54.9020,83.91,17.00
55.3520,83.86,17.00
55.8020,83.86,17.00
56.2570,83.76,17.00
56.7070,83.86,17.00
57.1560,83.81,17.00
57.6050,83.86,17.00
58.0540,83.81,17.00
58.5030,83.91,17.00
58.9530,83.86,17.00
59.4030,83.91,17.00
59.8520,83.86,17.00
60.3020,83.91,17.00
60.7570,83.81,17.00
61.2060,83.81,17.00
61.6550,83.81,17.00
62.1040,83.86,17.00
62.5540,83.81,17.00
63.0030,83.91,17.00
63.4520,83.81,17.00
63.9020,83.91,17.00
64.3520,83.86,17.00
64.8070,83.86,17.00
65.2560,83.86,17.00
65.7050,83.86,17.00
66.1550,83.81,17.00
66.6040,83.86,17.00
67.0530,83.81,17.00
67.5020,83.86,17.00
67.9520,83.86,17.00
68.4020,83.91,17.00
68.8570,83.97,17.00
69.3070,83.91,17.00
69.7560,83.97,17.00
70.2050,83.91,17.00
70.6540,83.91,17.00
71.1050,83.86,17.00
71.5520,83.81,17.00
72.0020,83.86,17.00
72.4520,83.81,17.00
72.9080,83.86,17.00
73.3570,83.91,17.00
73.8060,83.86,17.00
74.2560,83.97,17.00
74.7040,83.91,17.00
75.1530,84.02,17.00
75.6030,83.91,17.00
76.0520,83.91,17.00
76.5020,83.91,17.00
76.9520,83.81,17.00
77.4070,83.86,17.00
77.8560,83.97,17.00
78.3050,83.86,17.00
78.7550,83.97,17.00
79.2040,83.91,17.00
79.6530,83.97,17.00
80.1020,83.97,17.00
80.5520,84.02,17.00
81.0020,83.97,17.00
81.4570,83.91,17.00
81.9060,83.86,17.00
82.3560,83.91,17.00
82.8050,83.91,17.00
83.2540,83.97,17.00
83.7030,83.91,17.00
84.1520,83.97,17.00
84.6020,83.91,17.00
85.0520,84.02,17.00
85.5070,83.97,17.00
85.9570,83.91,17.00
86.4060,83.86,17.00
86.8550,83.91,17.00
87.3040,83.91,17.00
87.7530,83.91,17.00
88.2020,83.91,17.00
88.6520,84.02,17.00
89.1020,83.97,17.00
89.5580,83.97,17.00
90.0070,84.07,17.00
90.4560,84.02,17.00
90.9050,84.02,17.00
91.3540,84.02,17.00
91.8030,83.97,17.00
92.2530,84.02,17.00
92.7020,83.91,17.00
93.1520,84.02,17.00
93.6020,83.97,17.00
94.0570,84.02,17.00
94.5060,84.07,17.00
94.9550,84.02,17.00
95.4040,84.07,17.00
95.8540,84.02,17.00
96.3030,84.07,17.00
96.7520,84.02,17.00
97.2020,83.97,17.00
97.6520,83.97,17.00
98.1070,84.02,17.00
98.5560,83.97,17.00
99.0060,84.07,17.00
99.4550,84.02,17.00
99.9040,84.07,17.00
100.3530,84.02,17.00
100.8020,84.07,17.00
101.2520,84.07,17.00
101.7020,83.97,17.00
102.1570,83.91,17.00
102.6070,84.07,17.00
103.0560,83.97,17.00
103.5050,84.07,17.00
103.9550,83.97,17.00
104.4030,84.07,17.00
104.8520,84.07,17.00
105.3020,84.13,17.00
105.7520,84.07,17.00
106.2080,84.02,17.00
106.6570,83.97,17.00
107.1060,84.02,17.00
107.5550,84.02,17.00
108.0040,84.13,17.00
108.4530,84.02,17.00
108.9030,84.13,17.00
109.3520,84.07,17.00
109.8020,84.18,17.00
110.2520,84.13,17.00
110.7080,84.13,17.00
111.1560,84.02,17.00
111.6050,84.13,17.00
112.0540,84.07,17.00
112.5040,84.18,17.00
112.9530,84.13,17.00
113.4020,84.18,17.00
113.8520,84.18,17.00
114.3020,84.23,17.00
114.7570,84.13,17.00
115.2060,84.13,17.00
115.6550,84.07,17.00
116.1050,84.18,17.00
116.5540,84.13,17.00
117.0030,84.23,17.00
117.4520,84.18,17.00
117.9020,84.23,17.00
118.3520,84.18,17.00
118.8070,84.23,17.00
119.2560,84.23,17.00
119.7060,84.23,17.00
120.1550,84.13,17.00
120.6040,84.23,17.00
121.0530,84.18,17.00
121.5020,84.29,17.00
121.9520,84.18,17.00
122.4020,84.34,17.00
122.8570,84.29,17.00
123.3070,84.29,17.00
123.7560,84.23,17.00
124.2050,84.23,17.00
124.6540,84.18,17.00
125.1030,84.23,17.00
125.5530,84.23,17.00
