Measurement File created on Wed Jan  5 14:14:31 2022

Time,Temperature,TargetPWM
0.4960,98.18,17.00
0.9020,98.29,17.00
1.3520,98.18,17.00
1.8020,98.34,17.00
2.2580,98.23,17.00
2.7070,98.18,17.00
3.1560,98.18,17.00
3.6050,98.23,17.00
4.0540,98.18,17.00
4.5030,98.29,17.00
4.9530,98.18,17.00
5.4020,98.29,17.00
5.8520,98.23,17.00
6.3020,98.34,17.00
6.7570,98.23,17.00
7.2060,98.18,17.00
7.6550,98.18,17.00
8.1040,98.23,17.00
8.5540,98.18,17.00
9.0030,98.23,17.00
9.4520,98.23,17.00
9.9020,98.34,17.00
10.3520,98.23,17.00
10.8070,98.23,17.00
11.2560,98.29,17.00
11.7060,98.29,17.00
12.1550,98.18,17.00
12.6040,98.29,17.00
13.0530,98.23,17.00
13.5020,98.34,17.00
13.9520,98.23,17.00
14.4020,98.34,17.00
14.8580,98.40,17.00
15.3070,98.29,17.00
15.7560,98.29,17.00
16.2050,98.29,17.00
16.6540,98.29,17.00
17.1030,98.23,17.00
17.5530,98.23,17.00
18.0020,98.29,17.00
18.4520,98.23,17.00
18.9020,98.34,17.00
19.3570,98.40,17.00
19.8060,98.34,17.00
20.2550,98.29,17.00
20.7050,98.23,17.00
21.1540,98.18,17.00
21.6030,98.23,17.00
22.0520,98.18,17.00
22.5020,98.29,17.00
22.9520,98.18,17.00
23.4070,98.23,17.00
23.8560,98.34,17.00
24.3060,98.23,17.00
24.7550,98.29,17.00
25.2040,98.23,17.00
25.6530,98.23,17.00
26.1020,98.18,17.00
26.5520,98.12,17.00
27.0020,98.23,17.00
27.4580,98.29,17.00
27.9070,98.23,17.00
28.3560,98.34,17.00
28.8050,98.29,17.00
29.2540,98.34,17.00
29.7030,98.23,17.00
30.1530,98.18,17.00
30.6020,98.18,17.00
31.0520,98.18,17.00
31.5020,98.18,17.00
31.9580,98.29,17.00
32.4060,98.23,17.00
32.8550,98.29,17.00
33.3050,98.23,17.00
33.7540,98.34,17.00
34.2030,98.23,17.00
34.6580,98.23,17.00
35.1020,98.18,17.00
35.5520,98.07,17.00
36.0070,98.18,17.00
36.4570,98.23,17.00
36.9060,98.23,17.00
37.3550,98.29,17.00
37.8050,98.18,17.00
38.2530,98.29,17.00
38.7020,98.23,17.00
39.1520,98.18,17.00
39.6020,98.18,17.00
40.0580,98.23,17.00
40.5070,98.18,17.00
40.9560,98.29,17.00
41.4050,98.18,17.00
41.8540,98.29,17.00
42.3040,98.23,17.00
42.7530,98.29,17.00
43.2020,98.18,17.00
43.6520,98.23,17.00
44.1020,98.18,17.00
44.5570,98.29,17.00
45.0060,98.18,17.00
45.4560,98.29,17.00
45.9050,98.23,17.00
46.3540,98.34,17.00
46.8030,98.23,17.00
47.2520,98.23,17.00
47.7020,98.18,17.00
48.1520,98.12,17.00
48.6070,98.23,17.00
49.0570,98.23,17.00
49.5060,98.18,17.00
49.9550,98.29,17.00
50.4040,98.23,17.00
50.8530,98.29,17.00
51.3030,98.23,17.00
51.7520,98.18,17.00
52.2020,98.18,17.00
52.6580,98.29,17.00
53.1070,98.18,17.00
53.5560,98.34,17.00
54.0050,98.18,17.00
54.4540,98.34,17.00
54.9050,98.23,17.00
55.3530,98.29,17.00
55.8020,98.18,17.00
56.2520,98.18,17.00
56.7020,98.18,17.00
57.1580,98.29,17.00
57.6060,98.18,17.00
58.0560,98.29,17.00
58.5050,98.29,17.00
58.9540,98.29,17.00
59.4030,98.23,17.00
59.8520,98.18,17.00
60.3020,98.18,17.00
60.7520,98.12,17.00
61.2080,98.18,17.00
61.6570,98.34,17.00
62.1060,98.18,17.00
62.5550,98.29,17.00
63.0040,98.23,17.00
63.4530,98.23,17.00
63.9030,98.18,17.00
64.3520,98.12,17.00
64.8020,98.18,17.00
65.2520,98.18,17.00
65.7070,98.23,17.00
66.1560,98.29,17.00
66.6050,98.23,17.00
67.0550,98.29,17.00
67.5040,98.18,17.00
67.9530,98.12,17.00
68.4020,98.18,17.00
68.8520,98.18,17.00
69.3020,98.23,17.00
