Measurement File created on Tue Dec 21 08:08:41 2021

Time,Temperature,Heating,TargetPWM
0.4530,20.80,1,255.00
0.9030,20.45,1,255.00
1.3530,22.51,1,255.00
1.8020,20.45,1,255.00
2.2520,21.99,1,255.00
2.7020,22.34,1,255.00
3.1580,20.45,1,255.00
3.6070,20.45,1,255.00
4.0560,20.45,1,255.00
4.5050,22.34,1,255.00
4.9550,22.51,1,255.00
5.4040,20.45,1,255.00
5.8530,20.62,1,255.00
6.3030,20.45,1,255.00
6.7530,20.80,1,255.00
7.2020,20.45,1,255.00
7.6520,20.62,1,255.00
8.1070,20.45,1,255.00
8.5570,20.62,1,255.00
9.0060,20.97,1,255.00
9.4550,20.62,1,255.00
9.9040,22.34,1,255.00
10.3540,20.62,1,255.00
10.8030,20.45,1,255.00
11.2520,20.62,1,255.00
11.7020,20.45,1,255.00
12.1520,20.45,1,255.00
12.6070,20.45,1,255.00
13.1330,22.51,1,255.00
13.5070,20.45,1,255.00
13.9560,20.62,1,255.00
14.4050,20.45,1,255.00
14.8540,20.62,1,255.00
15.3040,20.45,1,255.00
15.7530,20.45,1,255.00
16.2020,20.62,1,255.00
16.6520,20.45,1,255.00
17.1020,22.34,1,255.00
17.5580,20.62,1,255.00
18.0070,20.45,1,255.00
18.4560,20.45,1,255.00
18.9050,20.62,1,255.00
19.3550,22.51,1,255.00
19.8040,20.62,1,255.00
20.2530,20.45,1,255.00
20.7020,20.62,1,255.00
21.1520,20.45,1,255.00
21.6020,20.97,1,255.00
22.0580,20.45,1,255.00
22.5070,20.62,1,255.00
22.9560,20.45,1,255.00
23.4050,20.62,1,255.00
23.8570,21.14,1,255.00
24.4310,21.14,1,255.00
24.7540,20.45,1,255.00
25.2030,20.62,1,255.00
25.6520,20.45,1,255.00
26.1020,20.45,1,255.00
26.5520,20.62,1,255.00
27.0080,20.62,1,255.00
27.4590,22.51,1,255.00
27.9070,20.62,1,255.00
28.3560,20.45,1,255.00
28.8050,20.45,1,255.00
29.2530,20.80,1,255.00
29.7040,20.45,1,255.00
30.1530,20.62,1,255.00
30.6040,20.45,1,255.00
31.0520,20.62,1,255.00
31.5020,20.45,1,255.00
31.9580,20.62,1,255.00
32.4070,20.45,1,255.00
32.8580,20.62,1,255.00
33.3060,20.45,1,255.00
33.7550,20.62,1,255.00
34.2040,21.65,1,255.00
34.6530,20.62,1,255.00
35.1030,20.45,1,255.00
35.5520,20.62,1,255.00
36.0030,20.62,1,255.00
36.4530,21.31,1,255.00
36.9080,20.45,1,255.00
37.3570,20.62,1,255.00
37.8060,20.45,1,255.00
38.2550,22.51,1,255.00
38.7050,21.82,1,255.00
39.1540,20.62,1,255.00
39.6030,20.62,1,255.00
40.0520,20.45,1,255.00
40.5020,20.62,1,255.00
40.9520,20.45,1,255.00
41.4080,20.45,1,255.00
41.8570,20.62,1,255.00
42.3060,20.62,1,255.00
42.7560,20.45,1,255.00
43.2050,20.62,1,255.00
43.6540,20.45,1,255.00
44.1030,20.62,1,255.00
44.5530,21.65,1,255.00
45.0020,20.62,1,255.00
45.4530,20.62,1,255.00
45.9080,20.62,1,255.00
46.3570,20.45,1,255.00
46.8070,21.48,1,255.00
47.2570,22.51,1,255.00
47.7060,20.62,1,255.00
48.1540,20.45,1,255.00
48.6040,20.45,1,255.00
49.0530,21.65,1,255.00
49.5020,20.45,1,255.00
49.9520,20.62,1,255.00
50.4030,20.45,1,255.00
50.8580,20.45,1,255.00
51.3070,21.31,1,255.00
51.7560,20.62,1,255.00
52.2050,20.45,1,255.00
52.6550,20.62,1,255.00
53.1040,20.45,1,255.00
53.5530,21.99,1,255.00
54.0030,20.45,1,255.00
54.4520,20.62,1,255.00
54.9020,20.45,1,255.00
55.3530,20.62,1,255.00
55.8080,22.34,1,255.00
56.2570,22.51,1,255.00
56.7070,20.45,1,255.00
57.1560,20.62,1,255.00
57.6050,20.62,1,255.00
58.0550,20.80,1,255.00
58.5040,20.62,1,255.00
58.9530,20.62,1,255.00
59.4020,21.82,1,255.00
59.8520,20.62,1,255.00
60.3020,20.80,1,255.00
60.7580,22.68,1,255.00
61.2070,20.80,1,255.00
61.6560,21.14,1,255.00
62.1060,20.80,1,255.00
62.5550,20.80,1,255.00
63.0040,20.97,1,255.00
63.4540,20.80,1,255.00
63.9030,21.48,1,255.00
64.3520,20.97,1,255.00
64.8020,20.97,1,255.00
65.2530,21.14,1,255.00
65.7080,21.14,1,255.00
66.1570,21.31,1,255.00
66.6060,21.31,1,255.00
67.0560,21.31,1,255.00
67.5050,23.19,1,255.00
67.9550,21.48,1,255.00
68.4040,23.36,1,255.00
68.8540,21.48,1,255.00
69.3030,21.48,1,255.00
69.7520,21.65,1,255.00
70.2020,21.65,1,255.00
70.6520,23.70,1,255.00
71.1080,21.82,1,255.00
71.5570,21.99,1,255.00
72.0070,21.82,1,255.00
72.4560,24.05,1,255.00
72.9060,23.02,1,255.00
73.3550,24.05,1,255.00
73.8050,22.16,1,255.00
74.2540,22.34,1,255.00
74.7040,22.34,1,255.00
75.1530,22.51,1,255.00
75.6030,22.68,1,255.00
76.0520,22.68,1,255.00
76.5020,22.85,1,255.00
76.9520,22.68,1,255.00
77.4090,23.19,1,255.00
77.8570,24.90,1,255.00
78.3070,23.19,1,255.00
78.7560,23.19,1,255.00
79.2050,23.36,1,255.00
79.6550,25.25,1,255.00
80.1040,23.53,1,255.00
80.5530,25.42,1,255.00
81.0030,24.39,1,255.00
81.4530,23.88,1,255.00
81.9020,23.88,1,255.00
82.3520,24.05,1,255.00
82.8020,24.05,1,255.00
83.2580,26.12,1,255.00
83.7070,24.39,1,255.00
84.1570,24.56,1,255.00
84.6060,24.56,1,255.00
85.0560,24.73,1,255.00
85.5050,26.47,1,255.00
85.9540,25.07,1,255.00
86.4040,25.07,1,255.00
86.8530,27.17,1,255.00
87.3030,25.42,1,255.00
87.7520,26.12,1,255.00
88.2020,27.51,1,255.00
88.6520,25.77,1,255.00
89.1070,25.95,1,255.00
89.5570,26.12,1,255.00
90.0070,26.99,1,255.00
90.4560,28.21,1,255.00
90.9050,26.47,1,255.00
91.3550,26.64,1,255.00
91.8040,26.82,1,255.00
92.2540,27.34,1,255.00
92.7030,26.99,1,255.00
93.1530,27.17,1,255.00
93.6020,27.34,1,255.00
94.0520,27.34,1,255.00
94.5030,27.69,1,255.00
94.9580,27.69,1,255.00
95.4080,29.60,1,255.00
95.8570,28.04,1,255.00
96.3070,29.95,1,255.00
96.7560,28.21,1,255.00
97.2060,30.31,1,255.00
97.6550,28.56,1,255.00
98.1040,30.48,1,255.00
98.5540,28.91,1,255.00
99.0030,29.08,1,255.00
99.4530,29.26,1,255.00
99.9020,31.02,1,255.00
100.3530,31.02,1,255.00
100.8030,29.78,1,255.00
101.2580,31.19,1,255.00
101.7070,31.72,1,255.00
102.1570,30.31,1,255.00
102.6060,31.72,1,255.00
103.0550,30.66,1,255.00
103.5050,32.43,1,255.00
103.9540,31.02,1,255.00
104.4040,31.02,1,255.00
104.8530,32.97,1,255.00
105.3030,32.97,1,255.00
105.7520,33.32,1,255.00
106.2020,31.90,1,255.00
106.6520,32.08,1,255.00
107.1020,32.26,1,255.00
107.5580,32.43,1,255.00
108.0070,34.03,1,255.00
108.4570,32.79,1,255.00
108.9060,32.97,1,255.00
109.3550,33.14,1,255.00
109.8050,33.32,1,255.00
110.2540,34.92,1,255.00
110.7040,33.85,1,255.00
111.1530,33.85,1,255.00
111.6030,34.21,1,255.00
112.0520,34.21,1,255.00
112.5020,34.38,1,255.00
112.9580,36.18,1,255.00
113.4080,34.92,1,255.00
113.8570,34.92,1,255.00
114.3070,35.27,1,255.00
114.7560,35.27,1,255.00
115.2050,36.00,1,255.00
115.6550,35.82,1,255.00
116.1040,37.44,1,255.00
116.5530,36.18,1,255.00
117.0030,37.80,1,255.00
117.4530,37.80,1,255.00
117.9020,38.16,1,255.00
118.3520,38.34,1,255.00
118.8020,37.08,1,255.00
119.2580,38.70,1,255.00
119.7070,38.52,1,255.00
120.1560,37.80,1,255.00
120.6050,37.80,1,255.00
121.0550,38.16,1,255.00
121.5040,39.60,1,255.00
121.9540,38.88,1,255.00
122.4030,38.70,1,255.00
122.8530,38.70,1,255.00
123.3030,39.06,1,255.00
123.7520,39.06,1,255.00
124.2030,40.88,1,255.00
124.6520,39.42,1,255.00
125.1020,39.78,1,255.00
125.5580,39.96,1,255.00
126.0070,41.61,1,255.00
126.4580,40.33,1,255.00
126.9060,40.70,1,255.00
127.3550,40.70,1,255.00
127.8040,41.06,1,255.00
128.2550,42.35,1,255.00
128.7040,41.25,1,255.00
129.1520,41.61,1,255.00
129.6020,41.61,1,255.00
130.0520,42.53,1,255.00
130.5020,43.27,1,255.00
130.9520,42.35,1,255.00
131.4080,42.53,1,255.00
131.8570,42.72,1,255.00
132.3070,42.90,1,255.00
132.7570,44.37,1,255.00
133.2060,43.27,1,255.00
133.6550,43.45,1,255.00
134.1050,43.63,1,255.00
134.5540,45.10,1,255.00
135.0030,44.00,1,255.00
135.4530,44.18,1,255.00
135.9020,44.37,1,255.00
136.3520,44.55,1,255.00
136.8020,46.04,1,255.00
137.2520,46.04,1,255.00
137.7030,45.29,1,255.00
138.1580,45.48,1,255.00
138.6070,45.66,1,255.00
139.0570,46.41,1,255.00
139.5060,46.04,1,255.00
139.9550,46.04,1,255.00
140.4050,46.41,1,255.00
140.8540,46.41,1,255.00
141.3040,46.78,1,255.00
141.7530,48.09,1,255.00
142.2030,47.16,1,255.00
142.6530,47.34,1,255.00
143.1020,47.53,1,255.00
143.5530,47.72,1,255.00
144.0030,47.90,1,255.00
144.4580,48.09,1,255.00
144.9080,49.40,1,255.00
145.3570,48.46,1,255.00
145.8070,48.65,1,255.00
146.2560,48.84,1,255.00
146.7060,49.96,1,255.00
147.1550,50.33,1,255.00
147.6050,49.40,1,255.00
148.0540,50.71,1,255.00
148.5030,49.77,1,255.00
148.9530,49.96,1,255.00
149.4030,51.09,1,255.00
149.8520,50.33,1,255.00
150.3030,51.66,1,255.00
150.7530,50.71,1,255.00
151.2080,50.90,1,255.00
151.6570,51.66,1,255.00
152.1070,51.28,1,255.00
152.5560,51.47,1,255.00
153.0840,52.23,1,255.00
153.4550,51.85,1,255.00
153.9050,52.80,1,255.00
154.3540,52.23,1,255.00
154.8030,53.37,1,255.00
155.2530,52.61,1,255.00
155.7030,52.80,1,255.00
156.1530,53.94,1,255.00
156.6020,53.18,1,255.00
157.0530,53.56,1,255.00
157.5080,53.75,1,255.00
157.9570,53.75,1,255.00
158.4070,54.13,1,255.00
158.8560,54.32,1,255.00
159.3050,54.32,1,255.00
159.7540,54.70,1,255.00
160.2030,54.70,1,255.00
160.6530,55.85,1,255.00
161.1030,55.85,1,255.00
161.5530,56.24,1,255.00
162.0020,56.43,1,255.00
162.4530,56.43,1,255.00
162.9030,56.82,1,255.00
163.3580,56.24,1,255.00
163.8070,56.24,1,255.00
164.2570,57.21,1,255.00
164.7060,56.63,1,255.00
165.1570,56.82,1,255.00
165.6050,57.01,1,255.00
166.0540,57.01,1,255.00
166.5040,57.98,1,255.00
166.9530,58.17,1,255.00
167.4030,57.78,1,255.00
167.8530,57.78,1,255.00
168.3030,57.98,1,255.00
168.7520,58.36,1,255.00
169.2030,58.17,1,255.00
169.6580,59.14,1,255.00
170.1070,58.75,1,255.00
170.5570,59.33,1,255.00
171.0060,59.52,1,255.00
171.4550,59.14,1,255.00
171.9050,59.91,1,255.00
172.3540,60.10,1,255.00
172.8030,59.52,1,255.00
173.2530,59.91,1,255.00
173.7020,60.50,1,255.00
174.1530,60.10,1,255.00
174.6860,60.89,1,255.00
175.0530,60.50,1,255.00
175.5080,60.69,1,255.00
175.9570,60.89,1,255.00
176.4060,61.48,1,255.00
