C,0,1,2,3,4,5,6,7,8,9,10
-200,185.2,189.52,193.84,198.15,202.47,206.77,211.08,215.38,219.67,223.97,228.25
-190,228.25,232.54,236.82,241.1,245.38,249.65,253.92,258.19,262.45,266.71,270.96
-180,270.96,275.22,279.47,283.71,287.96,292.2,296.43,300.67,304.9,309.13,313.35
-170,313.35,317.57,321.79,326.01,330.22,334.43,338.64,342.84,347.04,351.24,355.43
-160,355.43,359.63,363.82,368,372.19,376.37,380.55,384.72,388.89,393.06,397.23
-150,397.23,401.4,405.56,409.72,413.88,418.03,422.18,426.33,430.48,434.62,438.76
-140,438.76,442.9,447.04,451.17,455.31,459.44,463.56,467.69,471.81,475.93,480.05
-130,480.05,484.16,488.28,492.39,496.49,500.6,504.7,508.81,512.91,517,521.1
-120,521.1,525.19,529.28,533.37,537.46,541.54,545.62,549.7,553.78,557.86,561.93
-110,561.93,566,570.07,574.14,578.21,582.27,586.33,590.39,594.45,598.5,602.56
-100,602.56,606.61,610.66,614.71,618.76,622.8,626.84,630.88,634.92,638.96,643
-90,643,647.03,651.06,655.09,659.12,663.15,667.17,671.2,675.22,679.24,683.25
-80,683.25,687.27,691.29,695.3,699.31,703.32,707.33,711.34,715.34,719.34,723.35
-70,723.35,727.35,731.34,735.34,739.34,743.33,747.32,751.31,755.3,759.29,763.28
-60,763.28,767.26,771.25,775.23,779.21,783.19,787.17,791.14,795.12,799.09,803.06
-50,803.06,807.03,811,814.97,818.94,822.9,826.87,830.83,834.79,838.75,842.71
-40,842.71,846.66,850.62,854.57,858.53,862.48,866.43,870.38,874.32,878.27,882.22
-30,882.22,886.16,890.1,894.04,897.98,901.92,905.86,909.8,913.73,917.67,921.6
-20,921.6,925.53,929.46,933.39,937.32,941.24,945.17,949.09,953.02,956.94,960.86
-10,960.86,964.78,968.7,972.61,976.53,980.44,984.36,988.27,992.18,996.09,1000
0,1000,1003.91,1007.81,1011.72,1015.62,1019.53,1023.43,1027.33,1031.23,1035.13,1039.03
10,1039.03,1042.92,1046.82,1050.71,1054.6,1058.49,1062.38,1066.27,1070.16,1074.05,1077.94
20,1077.94,1081.82,1085.7,1089.59,1093.47,1097.35,1101.23,1105.1,1108.98,1112.86,1116.73
30,1116.73,1120.6,1124.47,1128.35,1132.21,1136.08,1139.95,1143.82,1147.68,1151.55,1155.41
40,1155.41,1159.27,1163.13,1166.99,1170.85,1174.7,1178.56,1182.41,1186.27,1190.12,1193.97
50,1193.97,1197.82,1201.67,1205.52,1209.36,1213.21,1217.05,1220.9,1224.74,1228.58,1232.42
60,1232.42,1236.26,1240.09,1243.93,1247.77,1251.6,1255.43,1259.26,1263.09,1266.92,1270.75
70,1270.75,1274.58,1278.4,1282.23,1286.05,1289.87,1293.7,1297.52,1301.33,1305.15,1308.97
80,1308.97,1312.78,1316.6,1320.41,1324.22,1328.03,1331.84,1335.65,1339.46,1343.26,1347.07
90,1347.07,1350.87,1354.68,1358.48,1362.28,1366.08,1369.87,1373.67,1377.47,1381.26,1385.06
100,1385.06,1388.85,1392.64,1396.43,1400.22,1404,1407.79,1411.58,1415.36,1419.14,1422.93
110,1422.93,1426.71,1430.49,1434.26,1438.04,1441.82,1445.59,1449.37,1453.14,1456.91,1460.68
120,1460.68,1464.45,1468.22,1471.98,1475.75,1479.51,1483.28,1487.04,1490.8,1494.56,1498.32
130,1498.32,1502.08,1505.83,1509.59,1513.34,1517.1,1520.85,1524.6,1528.35,1532.1,1535.84
140,1535.84,1539.59,1543.33,1547.08,1550.82,1554.56,1558.3,1562.04,1565.78,1569.52,1573.25
150,1573.25,1576.99,1580.72,1584.45,1588.18,1591.91,1595.64,1599.37,1603.09,1606.82,1610.54
160,1610.54,1614.27,1617.99,1621.71,1625.43,1629.15,1632.86,1636.58,1640.3,1644.01,1647.72
170,1647.72,1651.43,1655.14,1658.85,1662.56,1666.27,1669.97,1673.68,1677.38,1681.08,1684.78
180,1684.78,1688.48,1692.18,1695.88,1699.58,1703.27,1706.96,1710.66,1714.35,1718.04,1721.73
190,1721.73,1725.42,1729.1,1732.79,1736.48,1740.16,1743.84,1747.52,1751.2,1754.88,1758.56
200,1758.56,1762.24,1765.91,1769.59,1773.26,1776.93,1780.6,1784.27,1787.94,1791.61,1795.28
210,1795.28,1798.94,1802.6,1806.27,1809.93,1813.59,1817.25,1820.91,1824.56,1828.22,1831.88
220,1831.88,1835.53,1839.18,1842.83,1846.48,1850.13,1853.78,1857.43,1861.07,1864.72,1868.36
230,1868.36,1872,1875.64,1879.28,1882.92,1886.56,1890.19,1893.83,1897.46,1901.1,1904.73
240,1904.73,1908.36,1911.99,1915.62,1919.24,1922.87,1926.49,1930.12,1933.74,1937.36,1940.98
250,1940.98,1944.6,1948.22,1951.83,1955.45,1959.06,1962.68,1966.29,1969.9,1973.51,1977.12
260,1977.12,1980.73,1984.33,1987.94,1991.54,1995.14,1998.75,2002.35,2005.95,2009.54,2013.14
270,2013.14,2016.74,2020.33,2023.93,2027.52,2031.11,2034.7,2038.29,2041.88,2045.46,2049.05
280,2049.05,2052.63,2056.22,2059.8,2063.38,2066.96,2070.54,2074.11,2077.69,2081.27,2084.84
290,2084.84,2088.41,2091.98,2095.55,2099.12,2102.69,2106.26,2109.82,2113.39,2116.95,2120.52
300,2120.52,2124.08,2127.64,2131.2,2134.75,2138.31,2141.87,2145.42,2148.97,2152.52,2156.08
310,2156.08,2159.62,2163.17,2166.72,2170.27,2173.81,2177.36,2180.9,2184.44,2187.98,2191.52
320,2191.52,2195.06,2198.6,2202.13,2205.67,2209.2,2212.73,2216.26,2219.79,2223.32,2226.85
330,2226.85,2230.38,2233.9,2237.43,2240.95,2244.47,2247.99,2251.51,2255.03,2258.55,2262.06
340,2262.06,2265.58,2269.09,2272.6,2276.12,2279.63,2283.14,2286.64,2290.15,2293.66,2297.16
350,2297.16,2300.66,2304.17,2307.67,2311.17,2314.67,2318.16,2321.66,2325.16,2328.65,2332.14
360,2332.14,2335.64,2339.13,2342.62,2346.1,2349.59,2353.08,2356.56,2360.05,2363.53,2367.01
370,2367.01,2370.49,2373.97,2377.45,2380.93,2384.4,2387.88,2391.35,2394.82,2398.29,2401.76
380,2401.76,2405.23,2408.7,2412.17,2415.63,2419.1,2422.56,2426.02,2429.48,2432.94,2436.4
390,2436.4,2439.86,2443.31,2446.77,2450.22,2453.67,2457.13,2460.58,2464.03,2467.47,2470.92
400,2470.92,2474.37,2477.81,2481.25,2484.7,2488.14,2491.58,2495.02,2498.45,2501.89,2505.33
410,2505.33,2508.76,2512.19,2515.62,2519.06,2522.48,2525.91,2529.34,2532.77,2536.19,2539.62
